Choose Branch,العام 2023,Status,تاريخ الدفع,الايصال
مار ميخائيل - فغال,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1TdpY-GFGSUB8xaxwJdt8lBmZ90fXZyIS/view?usp=drive_copy
مار زخيا - عمشيت,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1Tb8aGBMF4mgCkEGo2frTHYROVoq4Edqi/view
مار يوحنا المعمدان - عمشيت,"LBP200,000",مدفوع,21-May-23,https://drive.google.com/file/d/1Ux67RLfsOM6mYYcQuYDWr58l0p9FRb85/view
مار عبدا - كفرمسحون,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1TpBMCDixnVuEqX3qdEmh7Z-qA9NduBMp/view
مار نعمة الله - اده,"LBP200,000",غير مدفوع,,
مار جرجس - جبيل,"LBP200,000",غير مدفوع,,
مار يوحنا مرقس - جبيل,"LBP200,000",غير مدفوع,,
القديسة تقلا - قرطبون,"LBP200,000",مدفوع,21-May-23,https://drive.google.com/file/d/1V-XChwGBreEOJRKKq5mbaDtBkTC7lnEn/view
سيدة الدوير - الفيدار,"LBP200,000",غير مدفوع,,
مار جرجس - حالات,"LBP200,000",غير مدفوع,,
مار جرجس - نهر ابراهيم,"LBP200,000",غير مدفوع,,
مار يوحنا المعمدان - زبدين,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1TaGc1t02aN0r8EPAHNnuXu81EQDEd7Em/view
مار يوسف - بشلّي,"LBP200,000",غير مدفوع,,
مار عبدا - بلاط,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1UGx9jymNy9uxXRlFzopy5v3Fl9qFnsYX/view
مارت تقلا - البريج,"LBP200,000",مدفوع,21-May-23,https://drive.google.com/file/d/1Utapw0QwBtvYfcotjSnlgpmR4O7v-aIL/view
مار اسطفان - لحفد,"LBP200,000",غير مدفوع,,
مار ضومط - مشمش,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1Tr2RSyPriCQ_1KZ0WCi-2lm_9dnUyJb-/view
سيدة النجاة - كفربعال,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1Tibv18juL93jPfyfE1L78HxkDRbPu__o/view
سيدة الشير - اهمج,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1TpPyYMFP_9jojv4TVeagkYstcScBWsn7/view
سيدة ايليج - ميفوق,"LBP200,000",مدفوع,21-May-23,https://drive.google.com/file/d/1V1OITOlX3wL_6VH68rw_R2jqan9STnTK/view
مار أنطونيوس الكبير - أدونيس,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1U0LahLAc01TqPzKF9Y8SHm2y4LdMq1eB/view
مار شلّيطا - كفون,LBP0,-,,
مار عبدا - جاج,"LBP200,000",غير مدفوع,,
سيدة البيدر - حصارات,"LBP200,000",غير مدفوع,,
مار انطونيوس- مستيتا,"LBP200,000",غير مدفوع,,
القديسة رفقا - المنصف,LBP0,-,,
مار جرجس - الخاربة,LBP0,-,,
مار جرجس - غلبون,LBP0,-,,
مار الياس - الحصون,LBP0,-,,
